Serial,Name,Yob,Candidacy,Cycle
490,דבורה נצר,1897,Full,4
491,יזהר סמילנסקי,1916,Full,4
492,משה סנה,1909,Partial,4
493,טובה סנהדראי,1906,Full,4
494,יוסף ספיר,1902,Full,4
495,פנחס ספיר,1906,Full,4
496,משה סרדינס,1917,Full,4
497,יוסף סרלין,1906,Full,4
498,יוסף פישר,1920,Full,4
499,מנחם פרוש,1916,Full,4
500,שמעון פרס,1923,Full,4
501,דוד פתל,1921,Full,4
502,רחל צברי,1909,Full,4
503,חיים יוסף צדוק,1913,Full,4
504,צבי צימרמן,1913,Full,4
505,משה קול,1911,Full,4
506,יצחק קורן,1911,Full,4
507,יוסף קושניר,1900,Partial,4
508,ישראל קרגמן,1906,Full,4
509,חנן רובין,1908,Full,4
510,פנחס רוזן,1887,Full,4
511,אסתר רזיאל-נאור,1911,Full,4
512,אלימלך שמעון רימלט,1907,Full,4
513,יעקב ריפתין,1907,Full,4
514,יצחק רפאל,1914,Full,4
515,אליעזר שוסטק,1911,Full,4
516,יוסף שופמן,1903,Full,4
517,שמואל שורש,1913,Full,4
518,בנימין שחור,1916,Full,4
519,בכור שלום שטרית,1895,Full,4
520,שבתאי שיכמן,1915,Full,4
521,חיים משה שפירא,1902,Full,4
522,משה שרת,1894,Full,4
523,אמה תלמי,1906,Full,4
524,אבא אבן,1915,Full,5
525,בנימין אבניאל,1906,Full,5
526,שניאור זלמן אברמוב,1908,Full,5
527,אחמד א-ד'אהר,1906,Full,5
528,משה אונא,1902,Full,5
529,ברוך אזניה,1905,Full,5
530,בבה אידלסון,1885,Full,5
531,יגאל אלון,1918,Full,5
532,אריה אלטמן,1902,Full,5
533,יוסף-אהרן אלמוגי,1910,Full,5
534,ארי אנקוריון,1908,Partial,5
535,עמי אסף,1903,Partial,5
536,יוסף אפרתי,1897,Full,5
537,מאיר ארגוב,1905,Partial,5
538,בנימין ארדיטי,1897,Full,5
539,משה ארם,1896,Partial,5
540,זלמן ארן,1899,Full,5
541,לוי אשכול,1895,Full,5
542,מנחם בגין,1913,Full,5
543,יוחנן בדר,1905,Full,5
544,יוסף בורג,1909,Full,5
545,מרדכי ביבי,1922,Full,5
546,יצחק בן-אהרן,1906,Partial,5
547,אריה בן-אליעזר,1913,Full,5
548,דוד בן-גוריון,1886,Full,5
549,מרדכי בנטוב,1900,Full,5
550,גדעון בן-ישראל,1923,Partial,5
551,שלמה ישראל בן-מאיר,1910,Full,5
552,אהרן בקר,1905,Full,5
553,הרצל ברגר,1904,Partial,5
554,ישראל ברזילי,1913,Full,5
555,ישראל בר-יהודה,1895,Partial,5
556,פרץ ברנשטיין,1890,Full,5
557,משה ברעם,1911,Full,5
558,דוד בר-רב-האי,1894,Full,5
559,חליל-סלים ג'בארה,1913,Partial,5
560,עקיבא גוברין,1902,Full,5
561,אהרן גולדשטיין,1902,Partial,5
562,יצחק גולן,1912,Full,5
563,ישראל גורי,1893,Full,5
564,ישראל גלילי,1911,Full,5
565,שלמה יעקב גרוס,1908,Full,5
566,אהרן יעקב גרינברג,1900,Partial,5
567,עמוס דגני,1926,Full,5
568,משה דיין,1915,Full,5
569,אברהם דרורי,1919,Partial,5
570,דוד הכהן,1898,Full,5
571,רות הקטין,1901,Full,5
572,אברהם הרצפלד,1891,Full,5
573,יזהר הררי,1908,Full,5
574,אסתר וילנסקה,1918,Full,5
575,מאיר וילנר,1918,Partial,5
576,זרח ורהפטיג,1906,Full,5
577,פריג'א זוארץ,1907,Full,5
578,מרדכי זר,1914,Partial,5
579,אמיל חביבי,1922,Partial,5
580,יעקב חזן,1899,Full,5
